,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
89,89,VB 10,018.72,1.4917499999999999e+29,69570000.0,143021021992.238
91,91,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,141431899525.6576
92,92,2MASS J0523-1403,040.3,1.3923000000000002e+29,59830199.99999999,155216613014.832
93,93,SDSS J000013.54+255418.6 [de],46.1,9.810989136e+30,657465.802884,995326254994068.0
95,95,2MASS J00242463-0158201,37.7,1.6147252952999995e+31,723876.4900440001,1487852951129320.5
97,97,2MASSW J0030300-145033,87.2,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
99,99,2MASS J00345157+0523050,31.0,8.584615494e+30,624260.459304,917235498285757.2
100,100,2MASS 0036+1821,28.6,8.584615494e+30,624260.459304,917235498285757.2
101,101,2MASSW J0045214+163445,57.0,4.701098961e+30,1075853.1319920002,291455489020253.75
102,102,WISEP J004701.06+680352.1 [fr],40.0,2.452747284e+30,863338.9330800001,189494806239255.25
103,103,2MASS J00501994-3322402 [de],34.0,8.175824279999999e+30,624260.459304,873557617415006.5
104,104,2MASS J00584253-0651239 [de],96.0,5.927472602999999e+30,949672.826388,416314347040788.1
105,105,2MASSI J0103320+193536,70.0,1.0628571563999995e+31,650824.7341679999,1089272865797079.6
106,106,SDSSp J010752.33+004156.1 [de],51.0,1.0628571563999995e+31,650824.7341679999,1089272865797079.6
109,109,SDSS J015141.69+124429.6,70.0,9.606593529e+30,644183.665452,994684936530798.8
114,114,2MASS J02431371−2453298,35.0,6.745055030999999e+30,657465.802884,684286800308421.8
115,115,LP 771-21,53.0,1.5942857346e+31,717235.4213280001,1482621400668247.2
117,117,WISE J0254+0223,24.0,1.3285714455e+31,1261803.05604,702294347684959.4
118,118,DEN 0255-4700,16.2,1.6351648559999995e+31,644183.665452,1693080743031146.8
119,119,2MASS J03185403-3421292 [de],45.0,1.0015384743e+31,644183.665452,1037011955106577.6
120,120,2MASS J03205965+1854233,47.0,1.7986813416e+31,763722.90234,1570884480708029.2
122,122,SDSS J032553.17+042540.1,59.0,9.197802314999998e+30,630901.52802,972407558333020.4
123,123,2MASS J03264225-2102057 [de],80.0,3.679120926e+30,863338.9330800001,284242209358882.9
124,124,2MASS J03284265+2302051 [de],98.0,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
125,125,2MASS J03341218-4953322,27.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
126,126,LP 944-20,20.9,1.4920879310999998e+31,949672.826388,1047963701171639.0
127,127,2MASP J0345432+254023,88.0,1.5125274918e+31,697312.21518,1446777806366377.5
129,129,2MASS J03510004-0052452,48.0,2.0848351914e+31,843415.7269320001,1648754022790370.5
130,130,2MASS J03552337+1133437,29.8,4.0879121399999993e+30,876621.070512,311039454685646.25
131,131,2MASS J04151954−0935066,18.6,6.131868209999999e+30,630901.52802,648271705555347.0
132,132,2MASS J04285096-2253227 [de],85.0,1.6351648559999995e+31,723876.4900440001,1506686532789185.5
133,133,2MASS J04351612-1606574,34.0,2.04395607e+31,836774.6582160001,1629254286448623.5
135,135,2MASS J04390101-2353083 [de],29.5,9.810989136e+30,644183.665452,1015848445818688.0
136,136,2MASS J04433764+0002040,82.0,4.496703354e+30,1182110.231448,253724319215482.25
137,137,2MASS J04455387-3048204 [de],42.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
138,138,2MASS J04510093-3402150 [de],69.0,1.4716483703999998e+31,690671.146464,1421211046794414.8
139,139,2MASS J05002100+0330501 [de],44.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
140,140,2MASS J05012406-0010452 [de],64.0,4.292307747e+30,916467.482808,312391800140801.3
141,141,2MASS J05160945-0445499 [de],73.0,9.606593529e+30,644183.665452,994684936530798.8
142,142,2MASS J0523−1403,40.0,1.3898901275999998e+31,670747.940316,1382123834286317.2
143,143,SDSS J053951.99-005902.0,41.62,1.2468132027e+31,670747.940316,1239846380756843.5
144,144,LSR 0602+3910 [de],34.6,5.723076996e+30,936390.688956,407660221460336.5
146,146,2MASS J06244595-4521548 [de],39.0,1.1446153992e+31,657465.802884,1161213964159746.2
147,147,2MASS J06411840-4322329 [de],65.0,1.3694505669e+31,670747.940316,1361798483782107.0
148,148,DENIS-P J0652197-253450 [de],51.0,1.5329670525e+31,697312.21518,1466328857803761.0
149,149,2MASS J07075327-4900503,60.0,1.4716483703999998e+31,684030.0777480002,1435009212297272.5
150,150,UGPS J072227.51-054031.2,13.4,5.314285781999999e+30,650824.7341679999,544636432898539.8
151,151,2MASSI J0727182+171001 [de],29.6,8.380219886999999e+30,624260.459304,895396557850381.8
152,152,2MASS J07290002-3954043 [de],25.8,7.562637458999999e+30,624260.459304,808040796108881.0
153,153,SDSS J074201.41+205520.5 [de],49.0,8.789011100999999e+30,624260.459304,939074438721132.0
154,154,DENIS-P J0751164-253043 [de],55.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
155,155,2MASS J07522390+1612157,60.0,1.3898901275999998e+31,1334854.811916,694500036133920.6
156,156,DENIS J081730.0-615520,16.1,8.993406707999999e+30,624260.459304,960913379156507.2
157,157,2MASS J08251968+2115521 [de],35.0,1.0628571563999995e+31,650824.7341679999,1089272865797079.6
158,158,SDSSp J083008.12+482847.4 [de],43.0,9.810989136e+30,657465.802884,995326254994068.0
159,159,LHS 2021,55.0,1.7986813416e+31,763722.90234,1570884480708029.2
160,160,SDSS J083048.80+012831.1 [de],77.0,9.402197922e+30,637542.596736,983662275443356.4
161,161,2MASSI J0835425-081923 [de],23.53,1.2672527634e+31,664106.8716000001,1272773448573664.5
162,162,2MASSI J0847287-153237 [de],43.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
163,163,2MASS J08533619-0329321,27.6,1.5738461738999997e+31,710594.3526120001,1477292064217247.0
164,164,2MASSI J0859254-194926 [de],50.0,1.021978035e+31,650824.7341679999,1047377755574115.2
165,165,2MASSI J0937347+293142,20.0,8.584615494e+30,624260.459304,917235498285757.2
166,166,2MASS 0939−2448,17.4,6.540659424e+30,630901.52802,691489819259036.9
167,167,2MASS J09490860-1545485 [de],59.0,1.0015384743e+31,637542.596736,1047814162972271.0
168,168,2MASS J10073369-4555147,46.0,8.993406707999999e+30,624260.459304,960913379156507.2
169,169,2MASSI J1010148-040649 [de],55.0,1.0424175957e+31,650824.7341679999,1068325310685597.6
170,170,2MASS J10224821+5825453 [de],60.0,5.518681388999999e+30,936390.688956,393100927836752.94
171,171,2MASSW J1036530-344138 [de],53.0,1.0015384743e+31,644183.665452,1037011955106577.6
172,172,2MASS J1047538+212423 [de],34.4,8.584615494e+30,624260.459304,917235498285757.2
173,173,Luhman 16B,6.516,8.789011100999999e+30,677389.0090320001,865421541566533.4
174,174,Luhman 16A,6.516,8.175824279999999e+30,670747.940316,813014020168421.9
175,175,DENIS-P J1058.7−1548,49.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
178,178,SDSS J111010.01+011613.1,63.0,1.839560463e+30,823492.520784,148997932325220.88
179,179,2MASS J11145133−2618235,18.2,6.745055030999999e+30,637542.596736,705670762818060.0
182,182,2MASSW J1155395-372735 [de],31.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
184,184,2MASSI J1217110-031113 [de],36.0,8.584615494e+30,624260.459304,917235498285757.2
185,185,2M 1237+6526,45.6,8.380219886999999e+30,624260.459304,895396557850381.8
187,187,SDSSp J125453.90-012247.4 [de],38.0,9.606593529e+30,650824.7341679999,984535090239668.0
188,188,Kelu-1A,61.0,1.2876923240999997e+31,650824.7341679999,1319695972023385.0
189,189,Kelu-1B,61.0,1.1854945205999998e+31,650824.7341679999,1214958196465973.5
191,191,SDSSp J132629.82-003831.5 [de],65.0,1.0424175957e+31,644183.665452,1079338973682356.0
192,192,SDSSp J134646.45-003150.4 [de],48.0,8.993406707999999e+30,624260.459304,960913379156507.2
193,193,2MASS J13595510-4034582,51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
194,194,ULAS J141623.94+134836.3,29.7,6.540659424e+30,637542.596736,684286800308421.8
196,196,DENIS-P J142527.97-365023.4 [de],38.0,4.292307747e+30,876621.070512,326591427419928.7
197,197,LHS 2924,38.5,1.5534066132e+31,703953.2838960001,1471862174248303.2
198,198,2MASS J14392837+1929150,47.0,1.4716483703999998e+31,684030.0777480002,1435009212297272.5
199,199,LSPM J1440+1339,72.0,1.8804395844e+31,790287.177204,1587085351975835.8
200,200,2MASS J14482563+1031590 [de],47.0,1.2059340812999998e+31,657465.802884,1223421855096875.2
203,203,TVLM 513-46546,35.1,1.5329670525e+31,697312.21518,1466328857803761.0
204,204,2MASS 1503+2525,20.7,8.993406707999999e+30,624260.459304,960913379156507.2
205,205,CFBDS J150411+102717,71.0,8.993406707999999e+30,624260.459304,960913379156507.2
206,206,2MASSW J1506544+132106 [de],46.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
207,207,2MASS 1507−1627,23.9,1.226373642e+31,657465.802884,1244157818742585.2
208,208,TVLM 868-110639,53.0,1.6147252952999995e+31,717235.4213280001,1501629367343481.0
209,209,2MASSW J1515008+484742 [de],34.0,1.1650549598999998e+31,657465.802884,1181949927805455.8
210,210,2MASSI J1526140+204341 [de],67.0,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
211,211,DENIS-P J153941.96-052042.4 [de],51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
212,212,2MASS J15462718-3325111 [de],37.0,8.993406707999999e+30,624260.459304,960913379156507.2
213,213,2MASSW J1552591+294849 [de],68.0,6.131868209999999e+30,949672.826388,430670014180125.6
214,214,2MASSW J1555157-095605 [de],44.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
215,215,2MASS J16150413+1340079 [de],48.0,8.584615494e+30,624260.459304,917235498285757.2
216,216,SDSSp J162414.37+002915.6 [de],36.0,8.789011100999999e+30,624260.459304,939074438721132.0
218,218,2MASSW J1632291+190441 [de],50.0,1.0015384743e+31,644183.665452,1037011955106577.6
219,219,WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,895396557850381.8
220,220,LSPM J1658+7027 [de],60.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
222,222,SDSSp J175032.96+175903.9,90.0,9.606593529e+30,644183.665452,994684936530798.8
223,223,2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,972407558333020.4
224,224,LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,1477292064217247.0
226,226,2MASS J18432213+4040209,46.0,1.9621978272e+31,810210.3833519999,1615365561383815.5
228,228,SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,983662275443356.4
229,229,2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,1408825765340868.2
230,230,2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
231,231,PSO J318.5−22,80.0,1.3285714454999997e+30,1016083.513548,87213023568720.42
233,233,2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,983662275443356.4
234,234,2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1140478000514036.2
235,235,2MASSW J2206450-421721,93.0,4.496703354e+30,883262.1392280001,339570893386134.1
237,237,2MASSW J2224438-015852,38.0,1.2468132027e+31,657465.802884,1264893782388295.0
238,238,2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,917235498285757.2
239,239,2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
240,240,2MASSW J2244316+204343,56.0,2.452747284e+30,856697.864364,190963758225606.1
241,241,2MASS J23224684-3133231,56.0,4.905494568e+30,923108.551524,354450716706520.6
243,243,2MASS J23515044-2537367,67.0,1.7986813416e+31,770363.971056,1557342373115718.8
244,244,2MASSI J2356547-155310,74.0,1.6351648559999995e+31,723876.4900440001,1506686532789185.5
245,245,WISE 0410+1502,20.0,1.226373642e+30,777005.0397719999,105274892355141.84
246,246,WISE 0458+6434A,35.9,3.065934105e+30,2789248.86072,73316442890188.05
247,247,WISE 0458+6434B,35.9,2.04395607e+30,2523606.11208,54022642129612.25
248,248,WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,716114093346023.0
